2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
"46,578.90","56,972.20","54,589.90","54,274.30","56,860.30","54,553.50","53,167.80","49,751.90","48,120.60","48,427.40","44,998.50","41,170.60","38,292.60","33,808.40","30,843.70","31,291.80","31,237.10","27,157.70","27,731.00","26,537.20","28,634.20","29,072.40","26,970.30","27,958.90","28,062.20","25,649.90","22,538.10","21,801.30","21,033.80","20,266.60","20,875.30"
"46,324.30","46,030.10","46,192.40","47,342.60","46,635.00","45,410.10","38,980.70","46,472.50","45,790.20","51,230.20","47,103.90","46,874.80","49,825.90","51,463.60","53,009.00","50,685.10","57,502.30","53,204.00","49,792.20","46,211.80","43,985.40","40,773.70","57,283.70","57,256.40","52,666.10","45,315.80","39,618.20","43,190.60","48,858.20","52,202.40","61,906.50"
"44,769.30","47,261.80","49,202.90","49,449.80","44,248.40","43,384.10","40,625.20","40,762.60","43,427.20","46,907.30","47,880.50","47,839.10","53,014.20","53,850.40","55,457.50","55,921.20","56,349.80","58,186.90","55,599.90","56,280.40","54,633.30","57,910.50","57,353.30","56,990.10","58,454.90","57,431.30","57,784.30","58,382.40","58,001.90","64,552.20","67,421.00"
"44,467.00","54,692.70","54,100.10","52,095.10","48,694.80","51,331.20","59,289.10","59,767.30","58,315.10","41,506.40","59,559.60","56,404.00","53,275.90","49,395.50","52,930.40","53,004.10","48,469.00","48,931.50","45,596.10","44,456.90","44,724.90","43,223.20","41,902.40","42,204.90","45,439.70","43,491.80","38,651.80","30,590.90","26,342.30","28,821.60","28,603.50"
"43,705.00","45,163.20","45,212.10","47,324.20","44,969.80","45,431.90","44,398.50","43,912.30","43,692.30","44,766.90","42,413.60","38,831.80","38,423.60","38,286.00","37,171.60","36,901.40","39,618.80","38,157.70","41,290.80","42,031.30","42,117.50","37,802.10","37,047.10","38,161.60","38,520.10","37,581.90","37,978.80","36,164.20","31,410.90","30,474.90","28,970.00"
"38,973.50","44,564.70","49,461.20","53,272.70","48,695.20","49,851.90","45,931.10","46,555.20","48,220.30","49,867.90","50,937.30","56,299.60","56,844.40","58,797.60","60,448.00","65,473.80","62,128.80","60,523.60","65,604.90","61,383.60","61,661.20","62,207.60","55,600.60","50,931.60","48,742.50","50,693.20","47,302.90","45,792.80","46,774.00","42,767.70","41,068.60"
"36,329.90","40,987.10","44,395.50","43,015.40","45,700.30","42,815.40","46,161.70","50,191.30","49,408.10","55,123.40","62,526.40","54,180.90","56,660.10","65,102.70","67,024.90","55,460.20","67,682.90","71,708.10","63,439.70","61,088.10","55,097.50","56,509.90","57,265.60","60,624.00","62,574.40","56,092.50","59,927.60","53,461.80","52,280.50","55,132.70","54,562.80"
"36,177.40","37,661.60","38,571.50","39,174.90","39,578.40","40,288.80","39,643.00","39,627.00","38,770.10","39,071.30","40,116.40","37,439.30","36,872.80","37,760.10","37,210.60","36,366.40","37,354.80","37,186.80","34,381.00","34,735.20","34,283.10","39,702.40","37,887.50","36,543.50","34,597.10","34,389.20","34,412.40","32,428.60","30,197.90","27,325.30","29,305.40"
"34,916.10","37,376.30","37,481.30","38,699.00","39,666.50","39,090.80","39,793.30","43,531.20","42,516.60","41,192.30","45,207.80","43,668.60","44,962.50","43,541.20","45,479.30","45,850.70","45,283.90","44,839.50","43,573.30","45,154.70","43,708.80","44,528.10","44,247.30","42,748.30","44,006.00","43,439.40","42,593.00","43,452.00","45,702.60","45,666.80","43,326.50"
"34,431.00","39,631.40","40,273.20","38,549.30","39,791.70","41,390.30","41,801.20","39,701.10","37,085.10","37,096.60","37,254.00","34,498.50","31,688.00","30,635.90","30,126.30","28,220.30","26,177.70","24,655.80","24,172.30","24,251.50","22,051.50","21,614.40","24,469.90","24,953.60","23,997.70","20,917.90","18,804.10","16,952.80","16,845.20","15,740.30","15,422.60"
"34,305.00","35,521.00","32,728.10","31,957.00","32,239.40","31,773.30","32,243.40","30,939.60","30,110.60","27,282.10","24,311.90","25,495.80","30,447.60","27,627.70","30,488.40","30,043.40","28,311.90","28,569.40","26,177.60","26,397.20","27,687.20","26,122.20","26,490.50","26,489.60","27,193.30","32,474.90","33,515.30","48,052.00","63,613.20","52,059.40","53,483.70"
"34,138.10","39,159.90","40,898.20","43,885.10","41,586.70","44,556.50","42,054.40","39,660.70","45,023.10","49,637.60","44,740.60","42,907.80","50,039.30","52,598.70","48,954.80","47,985.60","47,265.70","47,933.30","43,599.90","46,185.60","43,421.10","44,322.00","50,477.50","52,994.60","55,301.70","54,882.80","53,724.00","55,925.20","55,364.10","58,826.50","73,605.70"
"33,874.60","33,995.00","32,784.50","32,497.00","21,860.80","19,034.00","17,034.80","13,592.50","11,964.00","8,692.90","8,131.30","7,371.10","7,943.60","10,505.50","10,057.90","10,856.30","10,268.20","10,486.60","8,341.20","8,351.80","9,440.50","8,741.00","7,913.00","7,247.90","7,309.60","6,936.60","5,647.40","4,813.60","4,278.20","4,015.20","4,083.00"
"33,742.20","35,812.20","37,473.60","37,729.10","39,009.80","37,087.20","35,556.50","35,688.20","37,009.50","36,488.10","40,347.70","40,583.30","45,911.30","46,604.80","47,263.30","46,650.50","44,687.60","44,086.80","43,929.80","44,815.30","42,533.50","39,973.30","38,419.00","35,972.50","34,821.20","33,448.20","32,818.70","31,653.60","31,505.40","31,466.70","30,961.50"
"33,576.10","34,964.60","35,915.90","38,168.20","38,691.20","39,120.10","38,993.00","40,388.10","41,996.60","44,452.00","47,985.50","42,760.70","46,023.30","47,054.30","48,734.90","50,082.60","53,593.30","55,202.70","54,023.70","52,497.30","53,277.50","57,264.90","58,363.40","57,381.60","63,647.40","58,230.90","58,488.80","56,504.90","56,745.90","54,236.30","53,346.20"
"32,470.20","32,966.80","30,844.40","30,514.90","30,301.10","30,492.40","30,282.70","28,853.00","27,174.20","26,017.60","25,965.70","24,717.10","24,762.20","23,001.00","22,485.40","20,693.70","17,927.30","17,944.11","17,221.48","16,386.32","15,876.50","15,450.88","15,488.92","14,415.78","14,154.98","13,535.88","13,372.03","13,066.22","12,272.25","10,346.53","10,737.46"
"31,359.70","34,008.20","32,409.00","32,927.40","31,185.70","32,281.20","31,970.70","31,885.50","32,107.40","30,290.60","31,049.30","31,169.70","34,165.40","33,270.50","34,265.90","34,232.20","32,836.10","33,397.60","31,543.10","31,618.80","29,455.00","28,612.90","27,180.80","27,689.00","25,412.80","24,325.80","24,225.90","23,960.30","24,380.00","22,629.70","22,310.70"
"29,293.00","31,045.00","31,023.10","30,742.60","30,317.80","31,627.40","30,976.00","28,601.90","29,106.20","26,717.40","28,321.50","25,984.20","25,960.70","25,366.70","24,472.10","23,538.60","23,020.20","21,961.70","22,147.10","21,971.00","21,068.80","19,972.00","18,939.50","18,133.20","17,572.00","17,045.10","16,654.40","16,622.40","16,294.70","15,206.30","14,671.90"
"29,035.80","31,032.50","33,005.10","33,576.50","31,497.80","30,753.70","30,438.10","32,920.40","32,347.10","34,116.90","35,432.20","33,908.90","37,097.20","37,190.30","37,873.30","38,518.30","37,430.50","38,331.20","38,065.40","38,577.00","38,072.20","40,660.10","41,403.50","42,273.50","42,174.10","42,370.60","41,702.00","44,319.90","46,096.20","47,938.20","54,811.80"
"27,356.50","29,696.50","33,133.30","33,184.00","35,340.30","33,704.90","35,820.00","39,960.70","38,216.20","43,098.00","48,124.80","47,933.60","50,127.70","53,411.40","58,134.00","50,201.90","53,727.60","59,234.00","53,839.70","54,245.40","52,602.00","56,728.50","59,710.30","63,617.30","73,375.10","60,038.40","63,171.50","59,301.10","56,970.30","62,700.30","51,978.00"
"25,234.60","26,840.40","28,303.10","25,794.40","24,479.10","25,260.70","26,603.90","30,696.60","45,039.20","57,562.50","61,090.70","60,696.70","65,275.90","63,604.50","60,213.90","57,220.30","46,364.30","44,378.70","44,267.30","44,728.90","44,401.10","43,872.20","44,630.80","42,072.70","42,022.90","38,978.70","37,441.80","35,882.40","35,151.50","35,766.00","32,388.10"
"24,327.80","24,418.50","26,674.60","26,241.30","27,176.40","29,209.80","26,677.10","28,869.70","28,690.90","27,586.30","28,110.00","26,979.60","26,747.10","27,677.50","26,780.20","26,317.90","25,364.80","25,628.60","26,423.50","27,465.10","28,353.10","27,998.50","27,112.50","27,448.20","25,203.40","23,175.50","21,719.40","20,152.30","21,771.80","27,418.00","35,621.60"
"22,881.30","25,775.20","25,366.00","23,551.30","24,593.50","23,590.50","21,450.70","21,287.20","21,681.50","20,913.90","20,680.80","19,657.20","20,581.30","20,626.80","20,368.50","18,690.80","17,282.20","18,725.20","20,884.10","18,983.70","18,670.60","17,794.00","16,616.10","14,502.80","12,728.50","11,844.70","11,138.30","9,520.40","9,620.40","8,229.60","7,860.70"
"21,846.30","23,427.90","21,690.30","23,140.50","23,167.60","19,240.90","17,458.30","14,448.40","17,440.40","15,410.20","13,071.80","12,291.40","12,810.70","13,591.60","12,404.90","13,984.40","12,868.20","12,412.30","11,385.20","10,848.00","10,928.90","9,496.30","8,608.40","8,340.50","8,355.30","5,816.40","5,766.80","5,091.30","5,248.30","3,985.40","3,839.20"
"21,474.90","26,916.50","27,401.30","29,170.90","27,755.10","27,016.80","25,151.00","23,244.50","23,470.10","21,175.10","20,864.30","21,902.70","18,646.00","15,039.60","16,233.70","17,278.90","17,879.30","17,414.90","16,836.20","16,890.90","15,672.80","17,035.00","16,255.40","16,127.50","14,123.60","13,304.90","11,274.40","10,326.30","7,021.40","7,039.89","5,622.10"
"21,184.70","23,146.90","21,545.70","19,575.50","18,172.80","17,300.60","18,122.00","18,384.13","17,141.50","15,729.40","14,311.10","13,638.49","12,974.40","13,021.50","12,419.20","11,058.15","9,561.28","9,312.16","9,604.46","8,970.40","8,996.67","8,606.58","8,548.70","8,518.94","8,690.27","10,275.47","10,323.84","11,852.58","12,858.42","14,758.07","12,968.10"
"20,974.10","23,147.90","24,710.00","26,021.80","24,730.00","25,309.10","25,553.10","23,803.70","24,123.30","20,756.30","20,196.80","20,665.00","20,009.00","21,090.30","20,167.00","19,869.00","18,580.90","17,309.80","16,873.50","16,250.90","16,268.10","14,630.80","14,616.00","14,373.60","13,868.30","13,604.10","12,994.30","12,203.80","11,925.30","9,781.20","9,934.00"
"20,946.80","21,124.30","22,615.80","22,692.70","22,356.60","19,629.00","19,506.80","21,847.80","21,960.20","23,738.20","20,842.50","20,589.70","20,761.20","18,888.50","17,910.20","16,225.40","15,571.70","14,871.40","14,556.00","13,763.70","13,955.10","10,516.10","10,760.70","8,493.00","4,188.03","3,369.47","3,162.67","13,403.99","15,966.67","21,441.00","23,965.60"
"20,796.10","22,131.50","21,670.30","21,579.50","21,503.10","19,259.20","16,658.50","15,853.20","15,806.30","15,936.60","16,427.40","15,490.30","14,959.56","13,969.90","12,900.25","10,496.00","8,827.80","7,931.90","7,713.90","6,254.93","5,690.74","5,305.12","4,767.34","5,248.10","4,307.10","4,507.90","4,696.41","3,210.80","4,530.70","4,803.48","5,365.69"
"19,814.50","24,382.90","23,637.40","25,064.80","29,520.70","31,648.90","29,610.50","26,958.70","23,868.00","23,865.80","22,801.50","21,145.00","19,275.30","16,966.40","16,558.60","15,811.20","17,453.60","16,764.80","15,689.50","15,955.90","16,204.16","17,613.22","16,767.90","16,154.90","15,442.40","12,719.48","11,298.23","9,269.70","6,877.30","6,674.50","6,564.20"
"19,446.80","19,481.90","19,253.90","20,097.20","19,310.10","18,090.30","16,700.00","14,387.70","12,981.30","13,963.90","13,424.40","12,424.40","10,411.70","9,868.90","9,765.40","8,707.60","7,662.70","6,837.00","7,664.80","7,879.70","8,630.20","7,712.50","7,411.20","6,797.80","7,198.20","6,571.20","6,107.00","5,991.30","6,088.80","6,017.70","6,269.00"
"19,401.16","18,039.10","16,774.90","15,135.00","14,545.30","14,320.70","13,366.70","13,899.70","12,876.50","10,803.10","10,382.60","9,320.30","7,966.90","8,418.50","7,798.50","6,331.10","5,924.80","6,381.00","6,669.70","5,444.50","4,949.50","5,818.90","5,438.70","3,604.60","3,483.30","3,184.40","2,914.60","2,696.50","2,657.60","2,257.20","2,516.90"
"19,178.90","19,170.90","19,663.80","19,054.50","15,702.20","8,875.90","4,344.50","4,160.80","3,271.90","3,043.00","2,877.10","2,537.50","2,048.20","1,734.30","1,642.80","1,257.28","1,211.21","1,151.44","1,105.48",997.81,903.07,878.11,852.38,826.37,781.46,674.95,638.32,610.27,595.57,545.94,512.96
"18,652.80","18,093.20","13,555.70","12,660.50","11,066.40","8,432.60","6,947.20","5,737.60","5,673.90","5,363.70","5,140.80","4,745.00","4,055.50","3,660.73","2,963.00","2,657.50","2,377.80","2,378.20","2,210.90","2,152.60","1,963.00","1,907.10","1,882.20","1,640.60","1,529.80","1,470.80","1,425.30","1,384.99","1,348.35","1,304.38","1,260.42"
"18,375.30","21,828.80","21,881.20","21,628.20","21,328.70","20,002.90","19,478.30","18,123.90","16,961.00","15,991.70","14,702.20","13,570.40","12,734.20","11,907.50","10,714.90","9,883.00","9,382.40","8,878.70","8,339.50","7,812.90","8,108.10","8,285.20","8,728.60","9,186.30","8,331.20","8,634.50","9,565.00","10,260.50","11,173.70","10,867.90","10,407.90"
"18,098.00","17,708.00","17,028.40","15,882.40","15,247.20","13,046.30","12,490.30","10,190.80","8,559.00","7,551.50","6,473.20","6,534.50","6,487.70","5,963.50","5,404.80","5,049.50","5,334.20","5,022.40","4,571.50","4,401.30","3,557.00","3,176.60","3,227.60","3,058.40","2,870.50","2,574.70","2,261.40","1,941.30","1,517.20","2,333.10","2,310.70"
"16,865.20","19,017.80","18,075.70","16,530.10","17,451.90","16,455.90","13,998.50","13,046.30","12,183.70","11,774.90","11,477.60","11,884.40","11,272.30","12,442.20","11,550.10","11,557.60","10,780.40","10,568.60","10,494.30","9,840.00","9,443.30","8,218.50","8,305.30","6,566.30","6,202.00","6,369.10","5,445.40","5,118.00","4,834.90","4,034.70","3,932.00"
"15,626.90","16,523.30","16,433.40","17,407.90","16,876.80","16,602.30","16,236.40","17,010.60","17,403.00","19,027.60","19,457.30","20,305.90","21,726.30","22,872.00","21,598.30","21,445.00","21,092.70","21,607.90","20,276.70","19,196.00","18,034.40","18,513.60","18,527.50","17,069.60","15,254.40","15,452.90","14,865.00","15,536.50","15,031.20","14,744.90","20,341.40"
"15,420.00","17,195.30","17,763.70","18,224.70","18,291.60","21,310.60","22,014.20","22,186.30","21,497.20","22,243.00","21,443.00","19,030.20","20,012.10","20,485.80","20,054.60","17,580.00","16,096.00","15,446.90","12,674.70","11,619.60","10,204.50","9,899.80","9,923.90","9,690.50","9,194.80","8,618.60","8,792.50","10,722.40","13,145.20","13,045.10","13,152.40"
"14,949.20","13,860.50","15,139.40","13,265.30","10,735.70","7,186.20","7,132.20","6,087.80","5,997.80","5,199.20","4,640.90","3,882.80","2,994.90","2,693.60","2,616.10","3,188.60","2,809.60","3,021.80","2,786.70","3,464.60","3,221.00","3,123.70","2,315.70","2,191.37","1,959.10","1,895.70","1,744.50","1,409.80","1,234.16","1,182.25",938.80
"14,435.50","14,960.80","12,018.90","11,659.30","10,646.90","10,765.90","10,108.00","10,698.00","9,587.90","8,019.70","6,909.90","5,928.60","6,073.00","5,906.50","5,991.70","5,660.00","5,081.70","3,769.50","3,565.80","3,128.30","2,946.40","2,516.60","2,692.60","2,887.30","3,070.50","2,734.80","1,910.00","1,915.90","1,859.50","1,865.70","1,892.20"
"12,477.30","13,665.00","14,072.90","14,123.70","13,903.00","13,139.70","13,112.70","14,548.10","15,123.60","15,700.80","15,777.20","15,509.20","17,360.10","16,283.40","16,293.70","15,916.50","15,699.60","15,413.00","15,524.60","15,380.10","14,541.70","14,910.00","15,503.10","15,725.60","15,290.00","14,470.00","13,606.00","13,556.20","12,825.40","12,737.40","13,528.80"
"11,693.80","11,735.80","11,652.50","11,222.20","11,203.10","11,067.40","10,862.90","11,331.10","11,925.80","11,845.60","12,603.00","11,692.10","13,066.40","13,209.60","13,019.70","12,829.20","11,915.00","11,232.70","11,223.20","11,155.50","10,515.90","12,247.20","14,706.60","13,924.10","14,239.80","13,745.80","14,819.20","15,754.10","19,998.00","34,291.00","32,217.90"
"10,680.20","12,297.80","10,176.60","9,800.80","10,132.80","9,285.50","8,572.00","8,013.00","7,454.60","7,571.40","7,026.20","6,666.20","6,436.10","6,202.10","5,569.40","5,666.20","5,390.20","4,486.40","4,579.60","4,455.40","4,063.70","3,960.70","3,597.40","3,215.00","2,927.30","2,761.20","2,606.20","2,505.60","2,568.30","2,334.70","2,326.30"
"10,255.00","10,549.60","9,725.20","9,907.10","9,813.60","9,399.40","8,654.00","8,024.00","7,193.00","6,521.80","5,322.10","5,624.30","4,838.80","5,626.60","4,701.30","4,243.10","3,373.10","3,157.20","2,958.40","3,516.20","4,772.80","4,522.20","4,990.37","5,518.89","6,363.30","8,177.32","10,443.86","16,093.70","20,072.90","25,505.90","33,488.30"
"9,960.10","11,194.80","11,349.80","9,682.20","10,035.20","13,552.20","27,429.90","27,825.00","21,012.50","22,950.10","25,431.90","26,568.70","24,216.20","23,270.20","21,918.50","21,105.60","19,628.80","18,699.70","16,093.70","16,065.30","15,030.50","14,059.00","12,455.40","11,640.70","10,799.10","10,531.70","9,339.60","8,552.30","9,130.00","8,498.50","6,642.30"
"9,928.40","9,557.30","9,749.70","9,076.00","8,974.70","8,500.20","8,222.80","7,526.80","6,866.70","6,801.50","7,014.40","7,032.40","6,393.50","6,131.50","5,091.70","5,016.30","5,122.60","5,206.00","5,133.30","5,156.80","5,209.10","4,788.40","5,040.50","4,862.40","4,755.40","4,679.50","4,619.30","5,766.90","6,846.80","6,966.20","2,900.00"
"9,588.00","7,057.80","7,540.00","7,290.20","6,968.50","6,397.70","7,080.30","7,208.80","7,299.50","7,332.70","7,170.80","7,874.30","7,912.50","7,143.20","7,520.80","4,991.30","5,103.00","5,515.50","4,620.10","4,708.80","4,717.90","4,433.00","4,517.90","5,225.20","4,827.20","4,600.70","4,265.10","3,928.10","3,585.40","3,384.50","3,260.30"
"9,582.70","13,099.90","9,918.80","10,136.40","10,652.40","10,609.90","10,758.10","10,252.30","10,461.60","9,994.10","9,190.60","8,698.50","7,297.50","7,484.30","7,490.30","7,116.40","5,609.50","5,525.30","5,410.00","6,216.50","5,282.70","5,012.90","5,721.60","4,637.50","4,406.30","4,355.50","4,036.90","3,795.20","3,635.40","3,124.70","2,692.90"
"9,328.80","8,965.70","8,097.30","6,757.70","5,496.70","4,904.80","4,583.60","3,195.10","3,015.20","2,564.20","2,446.90","2,405.15","3,041.06","3,267.80","2,686.50","2,471.20","2,597.02","2,175.10","2,133.81","2,150.05","2,200.97","2,544.59","2,765.72","2,513.44","2,240.20","2,508.62","3,035.37","5,167.30","7,686.20","10,171.70","11,018.20"
"9,080.10","10,017.40","11,306.80","9,439.00","9,675.60","10,266.60","9,848.50","9,455.00","10,146.00","7,690.40","6,394.40","6,734.60","7,441.50","6,473.10","5,362.30","5,307.00","5,557.90","5,579.70","4,965.10","3,962.10","4,643.30","4,784.70","6,022.30","5,679.50","5,760.60","4,594.30","6,544.50","10,080.70","13,764.10","20,422.90","22,762.30"
"8,835.40","10,196.40","9,031.30","9,377.00","10,394.70","10,538.20","9,884.10","9,685.00","9,985.40","9,470.40","7,926.80","8,072.90","8,587.10","8,536.10","7,974.50","6,973.60","7,557.80","6,726.20","6,087.80","5,800.10","4,987.20","4,745.20","4,679.00","4,036.70","3,904.60","3,868.50","3,252.10","2,900.70","2,734.20","2,454.60","2,453.70"
"8,709.47","11,238.83","10,972.38","10,022.78","9,294.93","10,057.59","9,281.34","9,402.05","10,208.13","11,961.89","8,576.15","6,558.97","4,375.64","2,847.81","2,283.68","1,961.71","1,292.31","1,653.21","1,403.03","1,088.64","1,078.12","1,122.00","1,318.00","1,344.10","1,407.30","1,457.69","1,493.59","1,527.89","1,525.47","1,941.37","2,046.87"
"8,611.20","8,921.60","8,555.90","8,064.00","8,143.00","8,020.60","7,712.20","7,181.50","8,137.30","8,344.50","8,295.10","7,638.10","8,150.00","8,139.20","7,975.10","8,175.60","7,775.90","7,765.40","7,182.40","7,017.80","6,709.60","7,352.40","8,649.10","9,580.40","10,402.70","12,141.50","14,138.20","17,414.10","20,322.20","24,599.50","30,532.10"
"8,312.50","10,185.30","11,069.90","9,781.00","10,450.20","11,988.70","12,010.70","12,216.80","11,954.90","11,357.60","9,518.00","7,572.70","7,711.60","9,754.30","9,791.80","10,455.90","9,672.30","10,103.30","12,293.40","13,545.40","13,578.90","15,818.10","14,073.10","13,826.10","14,862.00","15,483.60","15,960.50","17,075.60","18,469.60","18,301.00","16,535.50"
"7,980.40","7,475.50","7,604.00","6,876.20","6,739.00","5,505.60","5,186.10","4,676.40","4,444.70","4,652.60","4,825.10","4,417.20","4,017.60","3,998.20","3,471.40","2,899.60","2,646.40","2,443.20","2,177.30","1,735.10","1,424.50","1,340.50","1,214.70","1,236.54",973.49,302.07,280.34,287.29,282.61,273.51,330.11
"7,853.10","9,500.30","9,320.80","9,006.50","8,845.90","9,133.40","9,643.20","10,173.30","10,698.00","10,906.80","11,029.10","10,442.90","11,022.50","11,114.40","11,717.20","11,912.90","11,659.80","10,241.60","9,818.30","9,118.50","8,556.70","7,920.30","7,565.50","8,242.20","8,736.80","8,659.90","10,810.60","11,645.30","11,435.50","11,753.40","11,285.00"
"7,607.10","7,615.70","7,857.20","6,810.70","5,315.30","4,956.60","4,686.00","4,238.60","4,030.30","3,050.70","2,656.90","2,485.20","2,185.90","1,981.60","2,177.50","2,293.10","2,106.20","2,084.20","1,922.95","1,835.28","1,807.20","1,764.00","2,173.00","2,285.50","1,761.90","2,129.50","2,143.80","2,514.40","2,848.00","2,876.20","2,740.80"
"7,575.70","8,101.60","8,360.10","7,920.90","7,192.60","6,367.50","5,628.00","5,301.20","5,177.40","5,218.00","5,043.30","4,567.90","4,323.20","3,720.50","3,954.60","3,698.50","3,973.70","3,937.60","3,775.40","3,614.80","3,524.30","4,266.30","4,266.90","4,107.20","3,723.00","3,781.20","3,335.10","2,817.60","2,474.60","2,020.30","2,072.20"
